osmid,lanes,name,highway,maxspeed,oneway,length,geometry,width,bridge,ref,access,tunnel,junction,service,area,est_width,u,v,key
"[60815650, 665689267]",3,Alt-Stralau,tertiary,50,False,75.662,"LINESTRING (13.4646667 52.4974197, 13.4648816 52.4973433, 13.4649861 52.4973061, 13.4650292 52.4972909, 13.4654043 52.4971657, 13.4656348 52.4970799)",,,,,,,,,,20246107,369734787,0
"[13232333, 172219133, 180442271]",,Wiener Straße,"['residential', 'tertiary']",30,False,768.338,"LINESTRING (13.4320663 52.4973441, 13.4322051 52.497297, 13.4322869 52.4972692, 13.4330411 52.4970137, 13.4337563 52.4967715, 13.4340384 52.4966784, 13.4344332 52.4965428, 13.4345735 52.4964949, 13.4347063 52.4964466, 13.4348052 52.4964129, 13.4351731 52.4962875, 13.4356945 52.4961096, 13.4366868 52.495771, 13.4368165 52.4957264, 13.4369687 52.4956766, 13.4375488 52.4954788, 13.4380568 52.4953056, 13.4383019 52.4952221, 13.4388016 52.4950517, 13.4389412 52.4950044, 13.4392558 52.4948974, 13.4395422 52.4948, 13.4397457 52.4947308, 13.4399332 52.4946671, 13.44068 52.4944131, 13.441448 52.4941498, 13.441852 52.4940114, 13.4419706 52.49397)",,,,,,,,,,21306263,1908841211,0
28969879,2,Wiener Straße,tertiary,50,False,52.23400000000001,"LINESTRING (13.4320663 52.4973441, 13.43192 52.4973937, 13.4318084 52.4974315, 13.4317315 52.49746, 13.4316422 52.497493, 13.4314012 52.4975821)",,,,,,,,,,21306263,318549154,0
"[39839081, 856152388, 856152389]",,Ohlauer Straße,residential,30,False,232.435,"LINESTRING (13.4320663 52.4973441, 13.4319855 52.4972553, 13.4319385 52.4972095, 13.4318966 52.4971687, 13.4315467 52.4968272, 13.4314655 52.496748, 13.4314148 52.4966963, 13.4312047 52.4964823, 13.4311746 52.4964516, 13.4309016 52.4961735, 13.4308029 52.4960729, 13.4307772 52.4960467, 13.4306089 52.4958751, 13.4304305 52.4956924, 13.4303978 52.4956589, 13.4302949 52.4955536)",,,,,,,,,,21306263,21306262,0
"[157169576, 241112997, 25964886]",,,"['cycleway', 'path']",,False,802.5159999999998,"LINESTRING (13.4320663 52.4973441, 13.432151 52.4973805, 13.432254 52.4973964, 13.4323368 52.4974, 13.4331978 52.4971115, 13.4334105 52.4970713, 13.4341736 52.4968134, 13.4343272 52.4967579, 13.4345416 52.4966848, 13.4348199 52.4965817, 13.4352444 52.4964104, 13.4366666 52.49593, 13.4367255 52.4959207, 13.4368006 52.4959167, 13.4368478 52.4959117, 13.436904 52.4958972, 13.4370385 52.4958515, 13.4370725 52.4958305, 13.4370916 52.4958135, 13.437128 52.495785, 13.4371678 52.4957646, 13.4389584 52.4951524, 13.4390534 52.4951201, 13.4407883 52.4945295, 13.4422557 52.4940255, 13.4424028 52.4939741)",2,,,,,,,,,21306263,1693891550,0
"[182599168, 355736433]","['2', '3']",Godbersenstraße,secondary,"['30', '50']",False,122.861,"LINESTRING (13.6453192 52.3783337, 13.6452116 52.3782817, 13.6451637 52.3782629, 13.6450784 52.3782258, 13.6449691 52.3782097, 13.6444453 52.3781923, 13.64437 52.3781904, 13.644334 52.3781895, 13.6443085 52.3781886, 13.6440631 52.3781776, 13.643924 52.3781714, 13.6437478 52.3781266, 13.6436173 52.3780693)",,,,,,,,,,21432472,1267994355,0
70532936,1,Adlergestell,tertiary,50,True,22.587,"LINESTRING (13.6453192 52.3783337, 13.6454341 52.3782474, 13.6455616 52.3781985)",,,,,,,,,,21432472,1820622388,0
"[756776166, 257430316, 257430317, 257430449, 257430450, 4822325, 24261687, 260589818, 260589819]","['1', '2']","['Bartningallee', 'Kirchstraße', 'Moabiter-Brücke']",tertiary,30,False,678.2259999999998,"LINESTRING (13.348557 52.5220504, 13.3485289 52.5219847, 13.3485167 52.5219526, 13.3484615 52.5218798, 13.3481294 52.5213997, 13.3480464 52.5212725, 13.3475415 52.5205603, 13.3475214 52.520532, 13.3473184 52.5202656, 13.347274 52.5202082, 13.3471521 52.5200437, 13.3470059 52.5198521, 13.34689 52.5196944, 13.3468499 52.5196486, 13.3468422 52.5196395, 13.3467635 52.51952, 13.3467312 52.519482, 13.3465878 52.5193403, 13.3463908 52.5192393, 13.3461011 52.5191611, 13.3460498 52.5191538, 13.3460149 52.5191505, 13.3458182 52.5191318, 13.3453206 52.5190935, 13.344747 52.5190565, 13.3443768 52.5190283, 13.3442137 52.519017, 13.3439953 52.5189946, 13.3437793 52.51896, 13.3436518 52.5189274, 13.3436214 52.5189153, 13.343486 52.5188615, 13.3433683 52.5188073, 13.3432247 52.5187191, 13.3431454 52.518658, 13.3427227 52.5183712, 13.3426452 52.5183209, 13.3425341 52.5182419, 13.3424925 52.5182156, 13.3424453 52.5181835, 13.3423332 52.5181048, 13.3422683 52.5180592, 13.3422385 52.5180376, 13.3422107 52.5180158)",,yes,,,,,,,,21677318,5176792072,0
"[604168576, 23109081]",2,Kronprinzessinnenweg,secondary,50,False,553.2589999999999,"LINESTRING (13.180732 52.4221672, 13.1813484 52.4224978, 13.1819715 52.4228231, 13.1826509 52.4231784, 13.1832562 52.4235317, 13.1832799 52.4235445, 13.1836864 52.4237647, 13.1841479 52.4239866, 13.1851188 52.4244628, 13.1853301 52.4245957, 13.1855938 52.4247719, 13.1859131 52.4250045, 13.1859757 52.4250524, 13.1862029 52.4252266, 13.186342 52.4253396, 13.1864595 52.4254566, 13.1865738 52.4256002)",,,,,,,,,,26280890,1354109465,0
25219761,,Neues Ufer,tertiary,50,False,434.8539999999999,"LINESTRING (13.3146415 52.5296092, 13.3148748 52.5289648, 13.3150372 52.5285382, 13.3151703 52.5281884, 13.3152265 52.5280259, 13.3152304 52.5280147, 13.3157004 52.5267234, 13.3159387 52.5259595, 13.3159553 52.5259111, 13.3159979 52.5257869)",,,,,,,,,,26682565,26736367,0
