y,x,osmid,highway,ref,geometry
52.4974197,13.4646667,20246107,,,POINT (13.4646667 52.4974197)
52.4973441,13.4320663,21306263,,,POINT (13.4320663 52.4973441)
52.3783337,13.6453192,21432472,,,POINT (13.6453192 52.3783337)
52.5220504,13.348557,21677318,,,POINT (13.348557 52.5220504)
52.4221672,13.180732,26280890,,,POINT (13.180732 52.4221672)
52.5296092,13.3146415,26682565,,,POINT (13.3146415 52.5296092)
52.5069045,13.3483489,26704698,,,POINT (13.3483489 52.5069045)
52.5054474,13.3517535,26704702,,,POINT (13.3517535 52.5054474)
52.5257869,13.3159979,26736367,,,POINT (13.3159979 52.5257869)
52.4811837,13.2958637,26738437,,,POINT (13.2958637 52.4811837)
52.4698313,13.3050063,26738731,,,POINT (13.3050063 52.4698313)
52.4707101,13.3038265,26738736,,,POINT (13.3038265 52.4707101)
52.544643,13.3702908,26749711,,,POINT (13.3702908 52.544643)
52.5347761,13.1994324,26759725,,,POINT (13.1994324 52.5347761)
52.5224064,13.1880437,26759912,,,POINT (13.1880437 52.5224064)
52.5039101,13.3527573,26822978,,,POINT (13.3527573 52.5039101)
52.5029499,13.3530284,26866506,,,POINT (13.3530284 52.5029499)
52.5371637,13.3655925,26872069,,,POINT (13.3655925 52.5371637)
52.5070953,13.3478581,26874394,,,POINT (13.3478581 52.5070953)
52.409934,13.5348935,26965672,,,POINT (13.5348935 52.409934)
52.558918,13.3430438,27177947,,,POINT (13.3430438 52.558918)
52.5561823,13.3479838,27177951,,,POINT (13.3479838 52.5561823)
52.553312,13.353022,27177971,,,POINT (13.353022 52.553312)
52.4698796,13.3778923,27212575,,,POINT (13.3778923 52.4698796)
52.4220635,13.2637859,27252639,,,POINT (13.2637859 52.4220635)
52.4543427,13.1443244,27324702,,,POINT (13.1443244 52.4543427)
52.4463174,13.3654606,27374304,,,POINT (13.3654606 52.4463174)
52.4460799,13.3663655,27374305,,,POINT (13.3663655 52.4460799)
52.3895914,13.6253853,27378688,,,POINT (13.6253853 52.3895914)
52.483955,13.3943511,27431838,,,POINT (13.3943511 52.483955)
52.4324283,13.2797126,27452691,,,POINT (13.2797126 52.4324283)
52.6171842,13.3018175,27466355,,,POINT (13.3018175 52.6171842)
52.428483,13.327657,27492408,,,POINT (13.327657 52.428483)
52.4992802,13.4303947,27555224,,,POINT (13.4303947 52.4992802)
52.4882698,13.3641078,27786078,,,POINT (13.3641078 52.4882698)
52.4746056,13.3666996,28096705,,,POINT (13.3666996 52.4746056)
52.5758536,13.2710492,28320472,,,POINT (13.2710492 52.5758536)
52.515669,13.1991795,28467944,,,POINT (13.1991795 52.515669)
52.4994863,13.4320158,29276773,,,POINT (13.4320158 52.4994863)
52.5690034,13.4184188,29422482,,,POINT (13.4184188 52.5690034)
52.569712,13.4366165,29778604,,,POINT (13.4366165 52.569712)
52.5609987,13.4571166,29778886,,,POINT (13.4571166 52.5609987)
52.495075,13.4448947,29787483,,,POINT (13.4448947 52.495075)
52.5105266,13.5008577,29805984,,,POINT (13.5008577 52.5105266)
52.4958275,13.5243807,29808680,,,POINT (13.5243807 52.4958275)
52.4926367,13.5334604,29809171,,,POINT (13.5334604 52.4926367)
52.6072126,13.3206898,30437209,,,POINT (13.3206898 52.6072126)
52.5931689,13.4027892,30561524,,,POINT (13.4027892 52.5931689)
52.5671844,13.5151331,30689845,,,POINT (13.5151331 52.5671844)
52.4319316,13.3463466,30739798,,,POINT (13.3463466 52.4319316)
52.6158434,13.3412287,30818857,,,POINT (13.3412287 52.6158434)
52.4532656,13.1435456,31178993,,,POINT (13.1435456 52.4532656)
52.46859,13.4673175,31357353,,,POINT (13.4673175 52.46859)
52.4680772,13.460677,31390653,,,POINT (13.460677 52.4680772)
52.4560332,13.6430678,31491358,,,POINT (13.6430678 52.4560332)
52.489048,13.575408,31532412,,,POINT (13.575408 52.489048)
52.5467804,13.1939856,33017732,,,POINT (13.1939856 52.5467804)
52.525373,13.1610466,33205307,,,POINT (13.1610466 52.525373)
52.5428639,13.2396465,33484080,,,POINT (13.2396465 52.5428639)
