ObjectID,vehicle_types,State,District,LOR_ab_2021,AccidentYear,AccidentMonth,AccidentHour,DayOfWeek,AccidentCategory,AccidentType,AccidentTypeDetail,LightingCondition,InvolvingBike,InvolvingCar,InvolvingPedestrian,RoadCondition,GraphicCoord1,GraphicCoord2,LongitudeWGS84,LatitudeWGS84,accident_outcome
109998,car,11,7,7300619.0,2021,1,14,7,3,2,6,0,0,1,0,1,796018.2589,5822739.196,13.35925879,52.47436651,0
110370,car,11,3,2400520.0,2021,1,20,1,3,3,6,2,0,1,0,1,799988.2122,5828912.431,13.42309463,52.52753402,0
111541,car,11,4,4400726.0,2021,1,1,6,3,9,1,2,0,1,0,0,791154.679,5824616.757,13.28949592,52.49381321,0
112174,car + pedestrian,11,4,4300414.0,2021,3,16,4,3,6,2,0,0,1,1,1,791505.4105,5826555.664,13.29634478,52.51100814,0
112177,car + pedestrian,11,4,4300414.0,2021,4,17,1,3,6,2,0,0,1,1,0,791567.4972,5826545.115,13.29724781,52.51088039,0
112180,bike,11,2,2200208.0,2021,8,10,3,2,3,6,0,1,0,0,0,797898.6687,5825137.375,13.38900556,52.49484111,1
112181,car,11,5,5200528.0,2021,11,17,6,2,4,6,1,0,1,0,0,782565.6135,5825446.398,13.16402825,52.5057667,1
112182,bike + car,11,9,9100101.0,2021,9,19,4,3,5,2,2,1,1,0,1,802664.0378,5825207.751,13.45904954,52.49285035,0
112184,bike + car,11,10,10400940.0,2021,7,20,6,3,5,3,0,1,1,0,0,812566.7795,5827181.034,13.60629112,52.50495334,0
112187,car,11,7,7400928.0,2021,3,15,1,3,2,6,0,0,1,0,0,800203.4875,5821509.271,13.41958744,52.461058,0
112189,car,11,4,4400830.0,2021,9,14,3,3,2,6,0,0,1,0,0,792400.87,5823170.025,13.30653019,52.48017738,0
112191,car,11,2,2500727.0,2021,8,8,5,3,5,2,0,0,1,0,0,802146.3932,5827747.059,13.45375262,52.51589701,0
112193,car,11,6,6400737.0,2021,5,10,7,3,2,6,0,0,1,0,0,786507.492,5816948.559,13.21465133,52.42752039,0
112205,car,11,3,3200206.0,2021,12,21,1,2,9,1,2,0,1,0,1,797981.2513,5834299.585,13.39843348,52.5769232,1
112206,car + pedestrian,11,7,7501030.0,2021,10,15,5,3,6,4,0,0,1,1,1,797987.7107,5819763.386,13.3855131,52.44662081,0
112212,bike,11,2,2500727.0,2021,8,15,4,3,5,3,0,1,0,0,0,802141.8982,5827763.741,13.45370173,52.51604902,0
112213,car,11,2,2500727.0,2021,10,10,1,3,5,2,0,0,1,0,0,802180.1605,5827725.655,13.45422929,52.51568645,0
112216,car,11,4,4501153.0,2021,6,8,5,3,2,6,0,0,1,0,1,794446.1398,5823093.717,13.33649249,52.47839438,0
112219,car,11,6,6400736.0,2021,2,11,3,2,2,6,0,0,1,0,0,785379.1915,5815651.563,13.1969956,52.41648102,1
112223,bike + car,11,9,9100203.0,2021,9,6,4,3,5,3,0,1,1,0,0,804105.6497,5824365.983,13.47944987,52.4845046,0
112225,bike + car,11,3,3400620.0,2021,6,15,3,3,5,2,0,1,1,0,0,798042.53,5833913.668,13.39898821,52.57343045,0
112229,bike + pedestrian,11,4,4300414.0,2021,6,12,2,3,6,4,0,1,0,1,0,791339.9188,5826528.353,13.29388922,52.51085172,0
112230,car,11,10,10100206.0,2021,4,13,4,3,5,2,0,0,1,0,0,808897.0635,5833397.338,13.5581744,52.56275196,0
112238,car,11,7,7400822.0,2021,11,17,4,3,2,1,1,0,1,0,1,796425.7265,5822606.822,13.36512274,52.47295892,0
